name,price,img_link,category
AKSA's Peak Silver Necklace,"1,799.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7137_350x350_crop_bottom.jpg?v=1652859507,pendant
AKSA's Entangled Heart Silver Necklace,"1,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7117_350x350_crop_bottom.jpg?v=1652859477,pendant
AKSA's Tiny Tot Silver Necklace,"1,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7134_350x350_crop_bottom.jpg?v=1652859617,pendant
AKSA's Falling Tree Silver Necklace,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7115_09950382-e8d7-44ff-b972-67fe3703e1a9_350x350_crop_bottom.jpg?v=1652859654,pendant
AKSA's Entangled Ring Rose Gold Necklace,"1,799.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7125_7e5c106c-8fa2-4d0c-bc3a-f5c76bf11825_350x350_crop_bottom.jpg?v=1652704631,pendant
AKSA's Classic Golden Chain,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7203_31ac333b-2979-4fea-bf57-a20bb3f4655a_350x350_crop_bottom.jpg?v=1652792191,pendant
AKSA's Dual Circle Evil Eye Silver Necklace,"2,199.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7210_350x350_crop_bottom.jpg?v=1652791095,pendant
AKSA's Baby Pink Golden Necklace,"1,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7200_350x350_crop_bottom.jpg?v=1652793066,pendant
AKSA's Evil Eye Coin Golden Pendant with Chain,"1,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7207_350x350_crop_bottom.jpg?v=1652791840,pendant
AKSA's Blue Romance Heart Silver Necklace,"1,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7220_350x350_crop_bottom.jpg?v=1652791609,pendant
AKSA's Drop Evil Eye Rose Gold Necklace,"1,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7213_350x350_crop_bottom.jpg?v=1652791298,pendant
AKSA's Good Luck Silver Tripple Layer Necklace,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7223_7db1dd32-152b-479d-b820-04c1322474ea_350x350_crop_bottom.jpg?v=1652791473,pendant
AKSA's Bold Beauty Silver Choaker Necklace,"3,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/Layer1_4c11eb0c-8662-41b9-a94d-fc9aaa2d32e7_350x350_crop_bottom.jpg?v=1650272395,pendant
AKSA's Emotions Tripple Layer Silver Necklace,"3,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00284_9b30399c-24bc-4579-8520-e404bcd9f690_350x350_crop_bottom.jpg?v=1650271585,pendant
AKSA's Hamsa Rose Gold Necklace,"1,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7202_350x350_crop_bottom.jpg?v=1652793300,pendant
AKSA's Evil Eye Tear Drop Golden Necklace,"1,799.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7199_e37e1b3a-280b-43af-8e0e-2b0a804d06f3_350x350_crop_bottom.jpg?v=1652790441,pendant
AKSA's Dual Layer Classic Silver Necklace,"2,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00249_350x350_crop_bottom.jpg?v=1650272014,pendant
AKSA's Drop String Silver Necklace,"2,199.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00273_efb769fc-5ef6-48ab-bc7d-3ca399f4c965_350x350_crop_bottom.jpg?v=1650271803,pendant
AKSA's Love Duo Silver Toggle Necklace,"1,799.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00289_350x350_crop_bottom.jpg?v=1650271368,pendant
AKSA's Ring Drop Silver Necklace,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00236_350x350_crop_bottom.jpg?v=1650268565,pendant
AKSA's Classic Bead Silver Ball Chain,"1,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00253._jpg_350x350_crop_bottom.jpg?v=1649230682,pendant
AKSA's Capricon Constellation Star Silver Necklace,"1,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00351_abf8543e-c61e-4483-abde-ff6649c0e70d_350x350_crop_bottom.jpg?v=1649234428,pendant
AKSA's Cancer Constellation Star Silver Necklace,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00359_350x350_crop_bottom.jpg?v=1647240834,pendant
AKSA's Dangling Silver Rose Gold Dual Layer Necklace,"3,349.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00267_350x350_crop_bottom.jpg?v=1646893927,pendant
AKSA's Dangling Silver Dual Layer Necklace,"3,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00271_06f2b7fd-b653-4e0f-975a-7e8760fb80fc_350x350_crop_bottom.jpg?v=1646833000,pendant
